X,Y,Nome,Municipio,Codigo,Estado,Categoria,Operadora,icon_url
-57.67544,-3.412986,MAUES,MAUES,Não Informado,AM,Doméstico,NÃO INFORMADA,./0.png
-56.849362,-1.575917,TROMBETAS,ORIXIMINA,Não Informado,PA,Doméstico,NÃO INFORMADA,./0.png
-56.56952,-2.597882,PARINTINS,PARINTINS,Não Informado,AM,Doméstico,NÃO INFORMADA,./0.png
-54.69921,-2.548142,AEROPORTO DE SANTARÉM,SANTARÉM,SBSN,PA,Internacional,INFRAERO,./0.png
-52.306683,-7.10347,SÃO FELIX DO XINGU,SÃO FELIX DO XINGU,Não Informado,PA,Doméstico,NÃO INFORMADA,./0.png
-51.617845,-6.876142,TUCUMÃ,TUCUMÃ,Não Informado,PA,Doméstico,NÃO INFORMADA,./0.png
-52.233621,-3.167213,AEROPORTO DE ALTAMIRA,ALTAMIRA,SBHT,PA,Doméstico,INFRAERO,./0.png
-50.513757,-1.574657,BREVES,BREVES,Não Informado,PA,Doméstico,NÃO INFORMADA,./0.png
-49.353423,-28.733623,CRICIUMA,CRISCIUMA,Não Informado,SC,Doméstico,NÃO INFORMADA,./0.png
-48.998694,-28.472914,TUBARÃO,TUBARAO,Não Informado,SC,Doméstico,NÃO INFORMADA,./0.png
-48.44983,-27.627605,AEROPORTO INTERNACIONAL DE FLORIANÓPOLIS,FLORIANÓPOLIS,SBFL,SC,Internacional,INFRAERO,./0.png
-48.827686,-26.28537,AEROPORTO DE JOINVILLE,JOINVILLE,SBJV,SC,Doméstico,INFRAERO,./0.png
-48.683049,-26.869688,AEROPORTO DE NAVEGANTES,NAVEGANTES,SBNF,SC,Doméstico,INFRAERO,./0.png
-49.178218,-25.545406,AEROPORTO INTERNACIONAL DE AFONSO PENA,SÃO  JOSÉ DOS PINHAIS,SBCT,PR,Internacional,INFRAERO,./0.png
-49.231878,-25.404703,AEROPORTO DE BACACHERI,CURITIBA,SBBI,PR,Doméstico,INFRAERO,./0.png
-48.504053,-25.552516,PARANAGUA,PARANAGUA,Não Informado,PR,Doméstico,NÃO INFORMADA,./0.png
-50.169697,-25.070594,PONTA GROSSA,PONTA GROSSA,Não Informado,PR,Doméstico,NÃO INFORMADA,./0.png
-49.327778,-24.148611,ITARARÉ,ITARARÉ,Não Informado,SP,Doméstico,ITARA,./0.png
-48.641667,-24.197778,RIBEIRÃO BRANCO,RIBEIRÃO BRANCO,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.516111,-24.273611,GUAPIARA,GUAPIARA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-49.0875,-23.683889,ITABERA,ITAÍ,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.882778,-23.941667,ITAPEVA,ITAPEVA,Não Informado,SP,Doméstico,ITAPE,./0.png
-48.819167,-23.921111,ITAPEVA,ITAPEVA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-49.0725,-23.308333,ITAÍ,ITAÍ,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-49.081111,-23.141111,ARANDU,ARANDU,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.965092,-23.10237,AVARÉ-ARANDU,AVARÉ,Não Informado,SP,Doméstico,DAESP,./0.png
-48.813333,-23.295,PARANAPANEMA,PARANAPANEMA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.684722,-23.888611,ITAPEVA,TAQUARIVAÍ,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.357778,-24.031944,CAPÃO BONITO,CAPÃO BONITO,Não Informado,SP,Doméstico,CPBON,./0.png
-48.291111,-24.008611,CAPÃO BONITO,CAPÃO BONITO,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.241667,-23.8625,CAPÃO BONITO,CAPÃO BONITO,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.339444,-23.784722,ITAPETININGA,ITAPETININGA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-48.282778,-23.570556,ITAPETININGA,ITAPETININGA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-49.911389,-22.966111,OURINHOS,OURINHOS,Não Informado,SP,Doméstico,DAESP,./0.png
-50.187222,-22.023056,POMPEIA,POMPÉIA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-50.020465,-22.204542,MARÍLIA,MARÍLIA,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-49.818056,-22.223333,VERA CRUZ,VERA CRUZ,Não Informado,SP,Doméstico,VCRUZ,./0.png
-49.766111,-22.947778,OURINHOS,OURINHOS,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-49.485556,-22.806667,MIRASSOL,SANTA CRUZ DO RIO PARDO,Não Informado,SP,Doméstico,SCRPD,./0.png
-49.655556,-22.183056,GARÇA,GARÇA,Não Informado,SP,Doméstico,GARCA,./0.png
